Symbol,Exchange,Sector,Company name,Country
20MICRONS.NS,NSE,Mining & Minerals,20 Microns Limited,India
21STCENMGM.NS,NSE,Finance - Investment,21ST CENTURY MANAG,India
360ONE.NS,NSE,Finance - Others,360 One Wam Limited,India
3IINFOLTD.NS,NSE,IT - Software,3i Infotech Limited,India
3MINDIA.NS,NSE,Diversified,3M India Limited,India
3PLAND.NS,NSE,Finance - Investment,3P LAND HOLDINGS L,India
3RDROCK.NS,NSE,Miscellaneous,3rd Rock Multimedia Limited,India
4THDIM.NS,NSE,IT - Software,Fourth Dimension Solutions Limited,India
5PAISA.NS,NSE,Finance - Stock Broking,5paisa Capital Limited,India
63MOONS.NS,NSE,IT - Software,63 Moons Technologies Ltd,India
A2ZINFRA.NS,NSE,Engineering - Construction,A2Z Infra Engineering Limited,India
AAATECH.NS,NSE,BPO/ITeS,AAA Technologies Limited,India
AAKASH.NS,NSE,Oil Exploration,Aakash Exploration Services Limited,India
AAREYDRUGS.NS,NSE,Trading,Aarey Drugs & Pharmaceuticals Limited,India
AARON.NS,NSE,Engineering,Aaron Industries Limited,India
AARTIDRUGS.NS,NSE,Pharmaceuticals & Drugs,Aarti Drugs Limited,India
AARTIIND.NS,NSE,Chemicals,Aarti Industries Limited,India
AARTIPHARM.NS,NSE,Pharmaceuticals & Drugs,Aarti Pharmalabs Limited,India
AARTIPP.E1.NS,NSE,Not Available,Aarti Surfactants Limited,India
AARTI.RE.NS,NSE,Not Available,Aarti Surfactants Limited,India
AARTISURF.NS,NSE,Household & Personal Products,Aarti Surfactants Limited,India
AARTISURF.PR.1.NS,NSE,Not Available,Aarti Surfactants Limited,India
AARVEEDEN.NS,NSE,Textile - Weaving,Aarvee Denims and Exports Limited,India
AARVI.NS,NSE,Miscellaneous,Aarvi Encon Limited,India
AAVAS.NS,NSE,Finance - Housing,Aavas Financiers Limited,India
ABAN.NS,NSE,Oil Exploration,Aban Offshore Limited,India
ABB.NS,NSE,Electric Equipment,ABB India Limited,India
ABBOTINDIA.NS,NSE,Pharmaceuticals & Drugs,Abbott India Limited,India
ABCAPITAL.NS,NSE,Finance - NBFC,Aditya Birla Capital Limited,India
ABCOTS.SM.NS,NSE,Not Available,AB COTSPIN INDIA L,India
ABFRL.NS,NSE,Retailing,Aditya Birla Fashion and Retail Limited,India
ABINFRA.SM.NS,NSE,Not Available,A B INFRABUILD LTD,India
ABMINTLLTD.NS,NSE,Trading,ABM International Limited,India
ABSLAMC.NS,NSE,Finance - Asset Management,Aditya Birla Sun Life AMC Limited,India
ACC.NS,NSE,Cement & Construction Materials,ACC Limited,India
ACCELYA.NS,NSE,IT - Software,Accelya Solutions India Limited,India
ACCORD.SM.NS,NSE,Not Available,ACCORD SYNERGY LTD,India
ACCURACY.NS,NSE,Logistics,Accuracy Shipping Limited,India
ACE.NS,NSE,Engineering - Industrial Equipments,Action Construction Equipment Limited,India
ACEINTEG.NS,NSE,BPO/ITeS,Ace Integrated Solutions Limited,India
ACI.NS,NSE,Chemicals,Archean Chemical Industries Limited,India
ACRYSIL.NS,NSE,Finology One,Acrysil Limited,India
ADANIENT.NS,NSE,Trading,Adani Enterprises Limited,India
ADANIGREEN.NS,NSE,Power Generation/Distribution,Adani Green Energy Limited,India
ADANIGREEN.BL.NS,NSE,Not Available,ADANI GREEN ENERGY,India
ADANIPORTS.NS,NSE,Port,Adani Ports and Special Economic Zone Limited,India
ADANIPORTS.BL.NS,NSE,Not Available,ADANI PORT SPECIAL,India
ADANIPOWER.NS,NSE,Power Generation/Distribution,Adani Power Limited,India
ADANITRANS.NS,NSE,Power Generation/Distribution,Adani Transmissions Limited,India
ADANITRANS.BL.NS,NSE,Not Available,ADANI TRANSMISSION,India
ADFFOODS.NS,NSE,Consumer Food,ADF Foods Limited,India
ADL.NS,NSE,Wood & Wood Products,Archidply Decor Limited,India
ADORWELD.NS,NSE,Electrodes & Welding Equipment,Ador Welding Limited,India
ADROITINFO.NS,NSE,IT - Software,Adroit Infotech Limited,India
ADSL.NS,NSE,IT - Software,Allied Digital Services Limited,India
ADVANIHOTR.NS,NSE,"Hotel, Resort & Restaurants",Advani Hotels & Resorts ,India
ADVENZYMES.NS,NSE,Pharmaceuticals & Drugs,Advanced Enzyme Technologies Limited,India
AEGISCHEM.NS,NSE,Logistics,Aegis Logistics Limited,India
AETHER.NS,NSE,Chemicals,Aether Industries Limited,India
AFFLE.NS,NSE,BPO/ITeS,Affle ,India
AGARIND.NS,NSE,Trading,Agarwal Industrial Corporation Limited,India
AGARWALFT.ST.NS,NSE,Not Available,Agarwal Float Glass I Ltd,India
AGI.NS,NSE,Packaging,AGI Greenpac Limited,India
AGNI.SM.NS,NSE,Not Available,AGNI GREEN POWER L,India
AGRITECH.NS,NSE,Agriculture,Agri-tech ,India
AGROPHOS.NS,NSE,Fertilizers,Agro Phos ,India
AGSTRA.NS,NSE,Miscellaneous,AGS Transact Technologies Limited,India
AHL.NS,NSE,Finance - NBFC,Abans Holdings Limited,India
AHLADA.NS,NSE,Engineering,Ahlada Engineers Limited,India
AHLEAST.NS,NSE,"Hotel, Resort & Restaurants",Asian Hotels ,India
AHLUCONT.NS,NSE,Construction - Real Estate,Ahluwalia Contracts ,India
AHLWEST.NS,NSE,Finology One,Asian Hotels ,India
AIAENG.NS,NSE,Castings/Forgings,AIA Engineering Limited,India
AILIMITED.SM.NS,NSE,Not Available,ABHISHEK INTEGRATI,India
AIRAN.NS,NSE,IT - Software,Airan Limited,India
AIROLAM.NS,NSE,Laminates/Decoratives,Airo Lam Limited,India
AIRTELPP.E1.NS,NSE,Not Available,Bharti Rs. 1.25 ppd up,India
AISL.SM.NS,NSE,Not Available,ANI INTEGRATED SER,India
AJANTPHARM.NS,NSE,Pharmaceuticals & Drugs,Ajanta Pharma Limited,India
AJMERA.NS,NSE,Construction - Real Estate,Ajmera Realty & Infra India Limited,India
AJOONI.NS,NSE,Miscellaneous,Ajooni Biotech Limited,India
AJRINFRA.NS,NSE,Engineering - Construction,AJR Infra and Tolling Limited,India
AKASH.NS,NSE,Engineering - Construction,Akash Infra-Projects Limited,India
AKG.NS,NSE,Trading,AKG Exim Limited,India
AKG.RE.NS,NSE,Not Available,AKG Exim Limited,India
AKSHAR.NS,NSE,Textile,Akshar Spintex Limited,India
AKSHARCHEM.NS,NSE,Dyes & Pigments,AksharChem ,India
AKSHOPTFBR.NS,NSE,Cable,Aksh Optifibre Limited,India
AKZOINDIA.NS,NSE,Paints,Akzo Nobel India Limited,India
ALANKIT.NS,NSE,Finance - Stock Broking,Alankit Limited,India
ALBERTDAVD.NS,NSE,Pharmaceuticals & Drugs,Albert David Limited,India
ALCHEM.NS,NSE,Finology One,Alchemist Limited,India
ALEMBICLTD.NS,NSE,Pharmaceuticals & Drugs,Alembic Limited,India
ALICON.NS,NSE,Castings/Forgings,Alicon Castalloy Limited,India
ALKALI.NS,NSE,Chemicals,Alkali Metals Limited,India
ALKEM.NS,NSE,Pharmaceuticals & Drugs,Alkem Laboratories Limited,India
ALKYLAMINE.NS,NSE,Chemicals,Alkyl Amines Chemicals Limited,India
ALLCARGO.NS,NSE,Logistics,Allcargo Logistics Limited,India
ALLETEC.SM.NS,NSE,Not Available,ALL E TECHNOLOGIES,India
ALLSEC.NS,NSE,BPO/ITeS,Allsec Technologies Limited,India
ALMONDZ.NS,NSE,Finance - Stock Broking,Almondz Global Securities Limited,India
ALOKINDS.NS,NSE,Textile,Alok Industries Limited,India
ALPA.NS,NSE,Pharmaceuticals & Drugs,Alpa Laboratories Limited,India
ALPHAGEO.NS,NSE,Engineering,Alphageo ,India
ALPSINDUS.NS,NSE,Textile,Alps Industries Limited,India
AMARAJABAT.NS,NSE,Batteries,Amara Raja Batteries Limited,India
AMBER.NS,NSE,Air Conditioners,Amber Enterprises India Limited,India
AMBICAAGAR.NS,NSE,Household & Personal Products,Ambica Agarbathies Aroma & Industries Limited,India
AMBIKCO.NS,NSE,Textile - Spinning,Ambika Cotton Mills Limited,India
AMBUJACEM.NS,NSE,Cement & Construction Materials,Ambuja Cements Limited,India
AMDIND.NS,NSE,Plastic Products,AMD Industries Limited,India
AMEYA.SM.NS,NSE,Not Available,AMEYA PRECISION EN,India
AMIABLE.SM.NS,NSE,Not Available,AMIABLE LOGISTICS,India
AMIORG.NS,NSE,Pharmaceuticals & Drugs,Ami Organics Limited,India
AMJLAND.NS,NSE,Construction - Real Estate,AMJ Land Holdings Limited,India
AMRUTANJAN.NS,NSE,Pharmaceuticals & Drugs,Amrutanjan Health Care Limited,India
ANANDRATHI.NS,NSE,Finance - Others,Anand Rathi Wealth Limited,India
ANANTRAJ.NS,NSE,Construction - Real Estate,Anant Raj Limited,India
ANDHRACEMT.NS,NSE,Cement & Construction Materials,Andhra Cements Limited,India
ANDHRAPAP.NS,NSE,Paper & Paper Products,Andhra Paper Limited,India
ANDHRSUGAR.NS,NSE,Chemicals,The Andhra Sugars Limited,India
ANDREWYU.NS,NSE,Tea/Coffee,Andrew Yule & Company Limited,India
ANGELONE.NS,NSE,Finance - Stock Broking,Angel One Limited,India
ANIKINDS.NS,NSE,Consumer Food,Anik Industries Limited,India
ANKITMETAL.NS,NSE,Steel & Iron Products,Ankit Metal & Power Limited,India
ANLON.SM.NS,NSE,Not Available,ANLON TECH SOL LTD,India
ANLON.ST.NS,NSE,Not Available,Anlon Technology Sol Ltd,India
ANMOL.NS,NSE,Trading,Anmol India Limited,India
ANNAPURNA.SM.NS,NSE,Not Available,ANNAPURNA SWADISHT,India
ANSALAPI.NS,NSE,Construction - Real Estate,Ansal Properties & Infrastructure Limited,India
ANSALHSG.NS,NSE,Construction - Real Estate,Ansal Housing Limited,India
ANTGRAPHIC.NS,NSE,Printing And Publishing,Antarctica Limited,India
ANUP.NS,NSE,Engineering - Industrial Equipments,The Anup Engineering Limited,India
ANURAS.NS,NSE,Chemicals,Anupam Rasayan India Limited,India
APARINDS.NS,NSE,Electric Equipment,Apar Industries Limited,India
APCL.NS,NSE,Cement & Construction Materials,Anjani Portland Cement Limited,India
APCOTEXIND.NS,NSE,Rubber  Products,Apcotex Industries Limited,India
APEX.NS,NSE,Aquaculture,Apex Frozen Foods Limited,India
APLAPOLLO.NS,NSE,Steel & Iron Products,APL Apollo Tubes Limited,India
APLLTD.NS,NSE,Pharmaceuticals & Drugs,Alembic Pharmaceuticals Limited,India
APOLLO.NS,NSE,Electronics - Components,Apollo Micro Systems Limited,India
APOLLOHOSP.NS,NSE,Hospital & Healthcare Services,Apollo Hospitals Enterprise Limited,India
APOLLOPIPE.NS,NSE,Plastic Products,Apollo Pipes Limited,India
APOLLOTYRE.NS,NSE,Tyres & Allied,Apollo Tyres Limited,India
APOLSINHOT.NS,NSE,"Hotel, Resort & Restaurants",Apollo Sindoori Hotels Limited,India
APTECHT.NS,NSE,IT - Education,Aptech Limited,India
APTUS.NS,NSE,Finance - Housing,Aptus Value Housing Finance India Limited,India
ARCHIDPLY.NS,NSE,Wood & Wood Products,Archidply Industries Limited,India
ARCHIES.NS,NSE,Retailing,Archies Limited,India
ARCOTECH.NS,NSE,Finology One,Arcotech Limited,India
ARENTERP.NS,NSE,Mining & Minerals,Rajdarshan Industries Limited,India
ARHAM.SM.NS,NSE,Not Available,ARHAM TECHNOLOGIES,India
ARIES.NS,NSE,Fertilizers,Aries Agro Limited,India
ARIHANT.NS,NSE,Construction - Real Estate,Arihant Foundations & Housing Limited,India
ARIHANTACA.SM.NS,NSE,Not Available,ARIHANT ACADEMY LT,India
ARIHANTCAP.NS,NSE,Finance - Stock Broking,Arihant Capital Markets Limited,India
ARIHANTSUP.NS,NSE,Construction - Real Estate,Arihant Superstructures Limited,India
ARISTO.SM.NS,NSE,Not Available,ARISTO BIO-TECH AN,India
ARMANFIN.NS,NSE,Finance - NBFC,Arman Financial Services Limited,India
AROGRANITE.NS,NSE,Ceramics/Marble/Granite/Sanitaryware,Aro Granite Industries Limited,India
ARROWGREEN.NS,NSE,Miscellaneous,Arrow Greentech Limited,India
ARSHIYA.NS,NSE,Logistics,Arshiya Limited,India
ARSSINFRA.NS,NSE,Engineering - Construction,ARSS Infrastructure Projects Limited,India
ARTEMISMED.NS,NSE,Hospital & Healthcare Services,Artemis Medicare Services Limited,India
ARTNIRMAN.NS,NSE,Construction - Real Estate,Art Nirman Limited,India
ARVEE.NS,NSE,Chemicals,Arvee Laboratories ,India
ARVIND.NS,NSE,Textile,Arvind Limited,India
ARVINDFASN.NS,NSE,Retailing,Arvind Fashions Limited,India
ARVSMART.NS,NSE,Construction - Real Estate,Arvind SmartSpaces Limited,India
ASAHIINDIA.NS,NSE,Glass,Asahi India Glass Limited,India
ASAHISONG.NS,NSE,Dyes & Pigments,Asahi Songwon Colors Limited,India
ASAL.NS,NSE,Auto Ancillary,Automotive Stampings and Assemblies Limited,India
ASALCBR.NS,NSE,Breweries & Distilleries,Associated Alcohols & Breweries Limited,India
ASHAPURMIN.NS,NSE,Mining & Minerals,Ashapura Minechem Limited,India
ASHIANA.NS,NSE,Construction - Real Estate,Ashiana Housing Limited,India
ASHIMASYN.NS,NSE,Textile,Ashima Limited,India
ASHOKA.NS,NSE,Engineering - Construction,Ashoka Buildcon Limited,India
ASHOKLEY.NS,NSE,Automobiles-Trucks/Lcv,Ashok Leyland Limited,India
ASIANENE.NS,NSE,Oil Exploration,Asian Energy Services Limited,India
ASIANHOTNR.NS,NSE,"Hotel, Resort & Restaurants",Asian Hotels ,India
ASIANPAINT.NS,NSE,Paints,Asian Paints Limited,India
ASIANTILES.NS,NSE,Ceramics/Marble/Granite/Sanitaryware,Asian Granito India Limited,India
ASLIND.SM.NS,NSE,Not Available,ASL INDUSTRIES LTD,India
ASMS.NS,NSE,IT - Software,Bartronics India Limited,India
ASPINWALL.NS,NSE,Diversified,Aspinwall and Company Limited,India
ASTEC.NS,NSE,Pesticides & Agrochemicals,Astec LifeSciences Limited,India
ASTERDM.NS,NSE,Hospital & Healthcare Services,Aster DM Healthcare Limited,India
ASTRAL.NS,NSE,Plastic Products,Astral Poly Technik Limited,India
ASTRAMICRO.NS,NSE,Telecommunication - Equipment,Astra Microwave Products Limited,India
ASTRAZEN.NS,NSE,Pharmaceuticals & Drugs,AstraZeneca Pharma India Limited,India
ASTRON.NS,NSE,Paper & Paper Products,Astron Paper & Board Mill Limited,India
ATALREAL.SM.NS,NSE,Not Available,ATAL REALTECH LTD,India
ATFL.NS,NSE,Edible Oil,Agro Tech Foods Limited,India
ATGL.NS,NSE,Gas Transmission/Marketing,Adani Total Gas Limited,India
ATLANTA.NS,NSE,Engineering - Construction,Atlanta Limited,India
ATLASCYCLE.NS,NSE,Finology One,Atlas Cycles ,India
ATNINTER.NS,NSE,Finology One,ATN International Limited,India
ATUL.NS,NSE,Chemicals,Atul Ltd,India
ATULAUTO.NS,NSE,Automobile Two & Three Wheelers,Atul Auto Limited,India
AUBANK.NS,NSE,Bank - Private,AU Small Finance Bank Limited,India
AUBANK.BL.NS,NSE,Not Available,AU SMALL FINANCE B,India
AURDIS.SM.NS,NSE,Not Available,AURANGABAD DISTILL,India
AURIONPRO.NS,NSE,IT - Software,Aurionpro Solutions Limited,India
AUROPHARMA.NS,NSE,Pharmaceuticals & Drugs,Aurobindo Pharma Limited,India
AURUM.NS,NSE,IT - Software,Aurum PropTech Limited,India
AURUMPP.E1.NS,NSE,Not Available,Aurum PropTech Limited,India
AUSOMENT.NS,NSE,Trading,Ausom Enterprise Limited,India
AUTOAXLES.NS,NSE,Auto Ancillary,Automotive Axles Limited,India
AUTOBEES.NS,NSE,Finology One,NIPPONAMC - NETFAUTO,India
AUTOIND.NS,NSE,Auto Ancillary,Autoline Industries Limited,India
AUTOLITIND.NS,NSE,Finology One,Autolite ,India
AVADHSUGAR.NS,NSE,Sugar,Avadh Sugar & Energy Limited,India
AVANTIFEED.NS,NSE,Consumer Food,Avanti Feeds Limited,India
AVG.SM.NS,NSE,Not Available,AVG LOGISTICS LTD,India
AVONMORE.NS,NSE,Finance - Investment,Avonmore Capital & Management Services Limited,India
AVROIND.NS,NSE,Plastic Products,Avro India Limited,India
AVSL.SM.NS,NSE,Not Available,AVSL INDUSTRIES LT,India
AVTNPL.NS,NSE,Consumer Food,AVT Natural Products Limited,India
AWHCL.NS,NSE,Miscellaneous,Antony Waste Handling Cell Limited,India
AWL.NS,NSE,Edible Oil,Adani Wilmar Limited,India
AXISBANK.NS,NSE,Bank - Private,Axis Bank Limited,India
AXISCADES.NS,NSE,IT - Software,AXISCADES Engineering Technologies Limited,India
AXISILVER.NS,NSE,Finology One,Axis AMC Ltd. - Axis Mutual Fund - Axis Silver Etf,India
AXITA.NS,NSE,Textile,Axita Cotton Limited,India
AYMSYNTEX.NS,NSE,Textile,AYM Syntex Limited,India
BAFNAPH.NS,NSE,Pharmaceuticals & Drugs,Bafna Pharmaceuticals Limited,India
BAGFILMS.NS,NSE,"Film Production, Distribution & Entertainment",B.A.G. Films and Media Limited,India
BAHETI.SM.NS,NSE,Not Available,BAHETI RECYCLING I,India
BAIDFIN.NS,NSE,Finance - NBFC,Baid Finserv Limited,India
BAJAJ.AUTO.NS,NSE,Not Available,Bajaj Auto Limited,India
BAJAJCON.NS,NSE,Household & Personal Products,Bajaj Consumer Care Limited,India
BAJAJELEC.NS,NSE,Consumer Durables - Domestic Appliances,Bajaj Electricals Limited,India
BAJAJFINSV.NS,NSE,Finance - Investment,Bajaj Finserv Limited,India
BAJAJFINSV.BL.NS,NSE,Not Available,BAJAJ FINSERV LTD,India
BAJAJHCARE.NS,NSE,Pharmaceuticals & Drugs,Bajaj HealthCare Limited,India
BAJAJHIND.NS,NSE,Sugar,Bajaj Hindusthan Sugar Limited,India
BAJAJHLDNG.NS,NSE,Finance - NBFC,Bajaj Holdings & Investment Limited,India
BAJFINANCE.NS,NSE,Finance - NBFC,Bajaj Finance Limited,India
BALAJITELE.NS,NSE,"Film Production, Distribution & Entertainment",Balaji Telefilms Limited,India
BALAMINES.NS,NSE,Chemicals,Balaji Amines Limited,India
BALAXI.NS,NSE,Trading,Balaxi Ventures Limited,India
BALKRISHNA.NS,NSE,Paper & Paper Products,Balkrishna Paper Mills Limited,India
BALKRISIND.NS,NSE,Tyres & Allied,Balkrishna Industries Limited,India
BALLARPUR.NS,NSE,Paper & Paper Products,Ballarpur Industries Limited,India
BALMLAWRIE.NS,NSE,Diversified,Balmer Lawrie & Co. Ltd.,India
BALPHARMA.NS,NSE,Pharmaceuticals & Drugs,Bal Pharma Limited,India
BALRAMCHIN.NS,NSE,Sugar,Balrampur Chini Mills Limited,India
BANARBEADS.NS,NSE,Glass,Banaras Beads Limited,India
BANARISUG.NS,NSE,Sugar,Bannari Amman Sugars Limited,India
BANCOINDIA.NS,NSE,Auto Ancillary,Banco Products ,India
BANDHANBNK.NS,NSE,Bank - Private,Bandhan Bank Limited,India
BANG.NS,NSE,Textile,Bang Overseas Limited,India
BANKA.NS,NSE,Engineering - Construction,Banka BioLoo Limited,India
BANKBARODA.NS,NSE,Bank - Public,Bank of Baroda,India
BANKINDIA.NS,NSE,Bank - Public,Bank of India Limited,India
BANSWRAS.NS,NSE,Textile - Manmade  Fibres,Banswara Syntex Limited,India
BARBEQUE.NS,NSE,"Hotel, Resort & Restaurants",Barbeque Nation Hospitality Ltd.,India
BARTRONICS.NS,NSE,Finology One,Bartronics India Limited,India
BASF.NS,NSE,Pesticides & Agrochemicals,BASF India Limited,India
BASML.NS,NSE,Textile - Spinning,Bannari Amman Spinning Mills Ltd,India
BATAINDIA.NS,NSE,Retailing,Bata India Limited,India
BAYERCROP.NS,NSE,Pesticides & Agrochemicals,Bayer CropScience Limited,India
BBL.NS,NSE,Electric Equipment,Bharat Bijlee Limited,India
BBOX.NS,NSE,Telecommunication - Equipment,Black Box Limited,India
BBTC.NS,NSE,Agriculture,"The Bombay Burmah Trading Corporation, Limited",India
BBTCL.NS,NSE,Paper & Paper Products,B&B Triplewall Containers Limited,India
BCG.NS,NSE,IT - Software,Brightcom Group Limited,India
BCLIND.NS,NSE,Edible Oil,BCL Industries Limited,India
BCONCEPTS.NS,NSE,Trading,Brand Concepts Limited,India
BCP.NS,NSE,Metal - Non Ferrous,B.C. Power Controls Limited,India
BDL.NS,NSE,Defence,Bharat Dynamics Limited,India
BEARDSELL.NS,NSE,Chemicals,Beardsell Limited,India
BECTORFOOD.NS,NSE,Consumer Food,Mrs. Bectors Food Specialities Limited,India
BEDMUTHA.NS,NSE,Steel & Iron Products,Bedmutha Industries Limited,India
